review_id,review_status,human_label,human_confidence,human_notes,review_category,qid,condition,question,gold_answer,prediction,metric_closure,local_judge_label,local_judge_rationale,derived_metric_agreement,bucket_memberships
r3e-0014,unreviewed,,,,metric_open_judge_positive,5a7137dc5542994082a3e68a,oracle_first,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,NBA Rookie of the Year Award,0,partial,Prediction is related but not semantically equivalent to the gold answer.,disagree,all_support_conditions_fail
r3e-0015,unreviewed,,,,metric_open_judge_positive,5a7137dc5542994082a3e68a,bm25_top10,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,NBA Rookie of the Year Award,0,partial,"Prediction is related but incomplete. The full answer includes 'The National Basketball Association's Rookie of the Year', which Kevin Durant did not win.",disagree,all_support_conditions_fail
r3e-0016,unreviewed,,,,metric_open_judge_positive,5a81fa59554299676cceb1b0,oracle_first,What type of profession does Jonah Meyerson and Alison Pill have in common?,actor,actress,0,partial,Prediction is a related but different profession.,disagree,bm25_success_bge_fail
r3e-0017,unreviewed,,,,metric_open_judge_positive,5a8038b55542996402f6a485,bge_rerank_top10,"Jacques Sernas, actor in Fugitive in Trieste, was of what nationality?",Lithuanian-born French,French,0,partial,Prediction is related but missing the 'Lithuanian-born' part.,disagree,all_support_conditions_fail
r3e-0018,unreviewed,,,,metric_open_judge_positive,5abd724b55429924427fcfd9,bm25_top10,"Is Ashland, New Hampshire or Plymouth Regional High School located near the Scribner-Fellows State Forest?",Ashland is home to Scribner-Fellows State Forest,"Scribner-Fellows State Forest is located near Ashland, New Hampshire, not Plymouth Regional High School in New Hampshire. Therefore, the answer is",0,partial,Prediction is related but does not match the gold answer.,disagree,all_support_conditions_fail
r3e-0019,unreviewed,,,,metric_open_judge_positive,5a859a755542992a431d1b6d,oracle_first,"Who was considered more iconic, Charlie Chaplin or Bruce Bilson?","Charles Spencer ""Charlie"" Chaplin",Charlie Chaplin,0,correct,Prediction matches the gold answer exactly.,disagree,all_support_conditions_fail
r3e-0020,unreviewed,,,,metric_open_judge_positive,5a859a755542992a431d1b6d,bge_rerank_top10,"Who was considered more iconic, Charlie Chaplin or Bruce Bilson?","Charles Spencer ""Charlie"" Chaplin",Charlie Chaplin,0,correct,Prediction matches gold answer.,disagree,all_support_conditions_fail
r3e-0021,unreviewed,,,,metric_open_judge_positive,5a77666555429966f1a36d1f,oracle_first,What is the nationality of the foreign born victim of Singapore's caning punishment before Oliver Fricker experienced the same?,American,United States,0,correct,United States is semantically equivalent to American.,disagree,bm25_success_bge_fail
r3e-0022,unreviewed,,,,metric_open_judge_positive,5a78caa955429970f5fffd83,bge_rerank_top10,Which civilization instigated a war with Rome and significantly influenced the Latin language?,the Etruscan civilization,Etruscan,0,partial,Prediction is close but missing the civilization part.,disagree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0023,unreviewed,,,,metric_open_judge_positive,5a859a755542992a431d1b6d,bm25_top10,"Who was considered more iconic, Charlie Chaplin or Bruce Bilson?","Charles Spencer ""Charlie"" Chaplin",Charlie Chaplin,0,correct,Prediction matches the gold answer exactly.,disagree,all_support_conditions_fail
r3e-0024,unreviewed,,,,metric_open_judge_positive,5a761e855542994ccc9186e0,oracle_first,Where are Catcha Lake and Hedley Mascot Mine located?,"British Columbia, Canada","Hedley, British Columbia",0,partial,"Prediction is incomplete as it only mentions Hedley, British Columbia, but not Catcha Lake.",disagree,bm25_success_bge_fail
r3e-0025,unreviewed,,,,no_support_prior_or_leakage,5ab7e3c45542995dae37e9db,no_support,Marine Air Control Group 48 is stationed at Naval Station Great Lakes which located where?,"Lake County, Illinois",Illinois,0,prior_knowledge_or_leakage,Prediction is related but does not specify Lake County.,disagree,bm25_fail_bge_success
r3e-0026,unreviewed,,,,no_support_prior_or_leakage,5a7cd66a554299452d57ba90,no_support,"Which band had more members, Semisonic or Cake?",Cake,Cake had more members.,1,prior_knowledge_or_leakage,Prediction matches the gold answer.,agree,no_support_success_leakage
r3e-0027,unreviewed,,,,no_support_prior_or_leakage,5ab871725542990e739ec8f8,no_support,"Which band has the guitarist Gorden Mack, Red House Painters or Daughtry?",Red House Painters,Red House Painters,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0028,unreviewed,,,,no_support_prior_or_leakage,5add44f35542997545bbbd0c,no_support,"Which movie was based on a book, The Haunted Mansion orThe Greatest Game Ever Played? ",The Greatest Game Ever Played,The Greatest Game Ever Played,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0029,unreviewed,,,,no_support_prior_or_leakage,5ab672165542995eadeeffe0,no_support,"Which genus has more species, Azorina or Azadirachta?",Azadirachta,Azadirachta,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0030,unreviewed,,,,no_support_prior_or_leakage,5a711ef85542994082a3e5ac,no_support,"Which hospital, the Psychiatric Institute of Washington or Howard University Hospital, is known for serving the African American community including former slaves?",Howard University Hospital,Howard University Hospital,1,prior_knowledge_or_leakage,Prediction matches the gold answer semantically.,agree,no_support_success_leakage
r3e-0031,unreviewed,,,,no_support_prior_or_leakage,5ae40b2b55429970de88d8b3,no_support,In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University,California Polytechnic State University,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0032,unreviewed,,,,no_support_prior_or_leakage,5ae29d8a5542996483e64a0f,no_support,What National Park contains the Thornton River and the Blue Ridge Mountains?,Shenandoah National Park,Shenandoah National Park,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0033,unreviewed,,,,no_support_prior_or_leakage,5ae1847e55429920d52343ee,no_support,"Which has a greater area, Liuzhou or Muling?",Liuzhou,Liuzhou,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0034,unreviewed,,,,no_support_prior_or_leakage,5a851ba95542997175ce1f81,no_support,"Rosemary Willis was seen in the grass in what Texas town, where John F. Kennedy was assassinated?",Dallas,Dallas,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0035,unreviewed,,,,no_support_prior_or_leakage,5a7336bd5542991f9a20c68c,no_support,"Which game is a board game, Mensch ärgere dich nicht or Roulette?",Mensch ärgere Dich nicht,Mensch ärgere dich nicht,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0036,unreviewed,,,,no_support_prior_or_leakage,5a735e9155429901807db00d,no_support,What country is home to both Guadarrama National Park and Doñana National Park? ,Spain,Spain,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0037,unreviewed,,,,no_support_prior_or_leakage,5a807f6a5542992bc0c4a737,no_support,The HMS Seraph is most famous for a WWII operation intended to cover the allied invasion of Sicily in what year?,1943,1943,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0038,unreviewed,,,,no_support_prior_or_leakage,5ade51b45542997c77adedf4,no_support,The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,"Arrowhead Stadium in Kansas City, Missouri",1,prior_knowledge_or_leakage,Prediction includes the correct stadium but specifies the wrong state.,agree,no_support_success_leakage
r3e-0039,unreviewed,,,,no_support_prior_or_leakage,5ae5e62455429929b0807a07,no_support,Giovanna d'Arco is an opera that was created by the composer of what nationality?,Italian,Italian,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0040,unreviewed,,,,no_support_prior_or_leakage,5a8f541e5542992414482a53,no_support,"Who was the singer of the song that held the record for most weeks spent at number one by a female country artist until it was surpassed by the the one named second best song of 2012 by ""Rolling Stone Magazine""?",Connie Smith,Connie Smith,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0041,unreviewed,,,,no_support_prior_or_leakage,5ac10c5e554299294b219074,no_support,"What state is home to the Lake Wobegon Trails and the recording location for the live radio show ""A Prairie Home Companion""?",Minnesota,Minnesota,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0042,unreviewed,,,,no_support_prior_or_leakage,5ae7f56e5542993210983fd1,no_support,Who is the author of the series in which Rupert Grint plays one of the three main characters?,J. K. Rowling,J.K. Rowling,1,prior_knowledge_or_leakage,Prediction matches the gold answer exactly.,agree,no_support_success_leakage
r3e-0043,unreviewed,,,,no_support_prior_or_leakage,5ae60d36554299546bf8303e,no_support,When did Belgium racer Stoffel Vandoorne win the Monaco GP2 Series round?,22 and 23 May 2015,2015,0,prior_knowledge_or_leakage,"Prediction is incomplete, missing the specific dates.",disagree,bm25_success_bge_fail|oracle_success_bge_fail
r3e-0044,unreviewed,,,,no_support_prior_or_leakage,5abbfa8f55429965836003cc,no_support,"What is the English translation of the tier four league that TSV Schilksee was promoted to in 2014, following a league championship in the Schleswig-Holstein-Liga?",Regional League North,Fourth Division,0,prior_knowledge_or_leakage,"Fourth Division is a broader term, while the answer specifies Regional League North.",disagree,bm25_fail_bge_success|bge_success_oracle_fail
r3e-0045,unreviewed,,,,bge_wrong_support_present,5ae1ab2f554299234fd042ba,bge_rerank_top10,"Who was the director of the 1987 American psychological thriller film in which the actor, who played Bob Charles in ""Not Necessarily the News"", appeared?",Adrian Lyne,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'Adrian Lyne'.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0046,unreviewed,,,,bge_wrong_support_present,5a7dedef5542995f4f40231a,bge_rerank_top10,"Which English actor, comedian and singer is featured in Chalk and Cheese?",Michael Patrick Smith,Michael Crawford,0,wrong,Prediction is incorrect and both EM and F1 are 0.,agree,all_support_conditions_fail
r3e-0047,unreviewed,,,,bge_wrong_support_present,5ac2a75755429967731025dc,bge_rerank_top10,What movie did John Gavin Malkovich play in with Matt Damon and Edward Norton?,Rounders,UNKNOWN,0,wrong,Prediction is UNKNOWN and no supporting facts were provided.,agree,bm25_success_bge_fail
r3e-0048,unreviewed,,,,bge_wrong_support_present,5add67915542992200553af8,bge_rerank_top10,What was the nickname of the hitman hired by an Italian American Criminal Organization?,The Crowned Prince of the Philadelphia Mob,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is provided.,agree,bm25_fail_bge_fail_oracle_success
r3e-0049,unreviewed,,,,bge_wrong_support_present,5ae0d52e554299603e418469,bge_rerank_top10,"The actress that played the leading role in the independent film ""A Perfect Ending"" also stars with John Bregar in a 2008 film directed by who?",Douglas Jackson,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is provided.,agree,all_support_conditions_fail
r3e-0050,unreviewed,,,,bge_wrong_support_present,5ac274fc55429963665199c1,bge_rerank_top10,The host of PokerFace is from where?,"Newcastle upon Tyne, England",UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer specifies a location.,agree,all_support_conditions_fail
r3e-0051,unreviewed,,,,bge_wrong_support_present,5a7137dc5542994082a3e68a,bge_rerank_top10,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,NBA Most Valuable Player Award,0,wrong,"Prediction is NBA Most Valuable Player Award, not NBA Rookie of the Year Award.",agree,all_support_conditions_fail
r3e-0052,unreviewed,,,,bge_wrong_support_present,5a84807d554299123d8c2278,bge_rerank_top10,"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?",Philosophy professor,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is provided.,agree,bm25_fail_bge_fail_oracle_success
r3e-0053,unreviewed,,,,bge_wrong_support_present,5a7331705542991f9a20c67a,bge_rerank_top10,Who was the Goal keeper for Iraq in the 1996 AFC Asian Cup played in the United Arab Emirates?,Emad Hashim,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,bm25_success_bge_fail
r3e-0054,unreviewed,,,,bge_wrong_support_present,5a8db788554299653c1aa145,bge_rerank_top10,"Which male singer performed together with a female American singer, who was born in 1954 and whose third studio album was named Through His Eyes, have a hit duet with in 1985?",Phil Collins,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is Phil Collins.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0055,unreviewed,,,,bge_wrong_support_present,5ac41ca75542991943173919,bge_rerank_top10,How large of the area is the nature reserve south of Seacroft Esplanade?,4.3 km2,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is specific.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0056,unreviewed,,,,bge_wrong_support_present,5ae69fa755429908198fa66c,bge_rerank_top10,Jeff Bhasker won a Grammy Award for a song that was the fourth single from what studio album?,My Beautiful Dark Twisted Fantasy,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'My Beautiful Dark Twisted Fantasy'.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0057,unreviewed,,,,bge_wrong_support_present,5a736aa95542991f29ee2dfa,bge_rerank_top10,"Cordyline ruba grows from Bundaberg, Queensland to which northeastern city in New South Whales, Australia?",Lismore,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is Lismore.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0058,unreviewed,,,,bge_wrong_support_present,5aba3e3355429901930fa78c,bge_rerank_top10,Which airport Pago Pago International Airport or Chattanooga Metropolitan Airport is closer to the central business district of their local community ?,Chattanooga Metropolitan Airport,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,all_support_conditions_fail
r3e-0059,unreviewed,,,,bge_wrong_support_present,5ab2123155429970612095b9,bge_rerank_top10,What did Mustafa Kemal Atatürk's residence become once it became Atatürk Museum Mansion?  ,museum,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'museum'.,agree,bm25_success_bge_fail|oracle_success_bge_fail
r3e-0060,unreviewed,,,,bge_wrong_support_present,5ae6152d5542996de7b71b38,bge_rerank_top10,The Cat in the Hat was a comedy film directed by which production designer and director?,"Robert W. ""Bo"" Welch III",UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,all_support_conditions_fail
r3e-0061,unreviewed,,,,bge_wrong_support_present,5ae4cda05542990ba0bbb148,bge_rerank_top10,Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time,"Serena Williams has won twenty-three Grand Slam singles titles, while Mariaan de Swardt has fewer achievements in her career.",0,wrong,Prediction does not match the gold answer.,agree,all_support_conditions_fail
r3e-0062,unreviewed,,,,bge_wrong_support_present,5ae30aa05542992decbdcdd7,bge_rerank_top10,The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?,Dark Heresy,Ross Watson,0,wrong,Prediction does not match the gold answer.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0063,unreviewed,,,,bge_wrong_support_present,5ab4071955429976abd1bd38,bge_rerank_top10,How long was the career of the actor in The Skull?,70 years,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 70 years.,agree,all_support_conditions_fail
r3e-0064,unreviewed,,,,bge_wrong_support_present,5ae3fe635542996836b02c07,bge_rerank_top10,Which American politician was the 61st Governor of Maryland and had help on his first campaign in 1998 from Richard Burton?,Martin O'Malley,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'Martin O'Malley'.,agree,bm25_success_bge_fail
r3e-0065,unreviewed,,,,oracle_wrong_support_first,5ac3c10a554299204fd21e33,oracle_first,"""Call Me Mañana"" is a song by a group that has sold how many records?",over 30 million,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is provided.,agree,bm25_success_bge_fail
r3e-0066,unreviewed,,,,oracle_wrong_support_first,5a7da3a95542990b8f5039e6,oracle_first,What position did the former Major League Baseball player play who worked on the same broadcast team as Kim Kelch?,first baseman,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'first baseman'.,agree,bge_success_oracle_fail
r3e-0067,unreviewed,,,,oracle_wrong_support_first,5abaa8b355429901930fa87f,oracle_first,The city in which the Cloverdale Fairgrounds are located is a member municipality of which regional district?,Metro Vancouver regional district,Fraser Valley Regional District,0,wrong,Prediction is incorrect; supporting facts specify Metro Vancouver regional district.,agree,bm25_fail_bge_success|bge_success_oracle_fail
r3e-0068,unreviewed,,,,oracle_wrong_support_first,5add4dd35542992ae4cec507,oracle_first,How are Ceephax Acid Crew  and Squarepusher's music similar?,drum and bass electronic musician,acid house,0,wrong,"Prediction is acid house, but gold answer is drum and bass electronic musician.",agree,bm25_fail_bge_success|bge_success_oracle_fail
r3e-0069,unreviewed,,,,oracle_wrong_support_first,5abd724b55429924427fcfd9,oracle_first,"Is Ashland, New Hampshire or Plymouth Regional High School located near the Scribner-Fellows State Forest?",Ashland is home to Scribner-Fellows State Forest,Scribner-Fellows State Forest,0,wrong,Prediction does not match the gold answer.,agree,all_support_conditions_fail
r3e-0070,unreviewed,,,,oracle_wrong_support_first,5a84c4b05542991dd0999deb,oracle_first,Are both Forman Christian College and Purbanchal University public schools?,no,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'no'.,agree,all_support_conditions_fail
r3e-0071,unreviewed,,,,oracle_wrong_support_first,5ac274fc55429963665199c1,oracle_first,The host of PokerFace is from where?,"Newcastle upon Tyne, England",UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is specific.,agree,all_support_conditions_fail
r3e-0072,unreviewed,,,,oracle_wrong_support_first,5a8cee9b554299441c6b9f87,oracle_first,"Haier has North American rights to which appliance company headquartered in Louisville, Kentucky?",GE Appliances,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'GE Appliances'.,agree,bm25_fail_bge_success|bge_success_oracle_fail
r3e-0073,unreviewed,,,,oracle_wrong_support_first,5a78a84d554299148911f8fd,oracle_first,"Which team was older when it had it's worst season, The Cleveland Browns or the Detroit Lions",Detroit Lions,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is Detroit Lions.,agree,bm25_success_bge_fail
r3e-0074,unreviewed,,,,oracle_wrong_support_first,5abed44b5542990832d3a0db,oracle_first,Panna a netvor is a re-telling of a classic tale by what novelist?,Gabrielle-Suzanne Barbot de Villeneuve,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is provided.,agree,bm25_success_bge_fail
r3e-0075,unreviewed,,,,oracle_wrong_support_first,5ab804065542990e739ec7e0,oracle_first,"Are the bands ""Black Grape"" and ""Balance and Composure"" from the same country?",no,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is no.,agree,all_support_conditions_fail
r3e-0076,unreviewed,,,,oracle_wrong_support_first,5a8aeadc55429950cd6afbe0,oracle_first,What date in 2010 was a South Korean film starring  Kim Hyang-gi released?,"January 14, 2010","January 28, 2010",0,wrong,Prediction is incorrect date.,agree,bm25_fail_bge_success|bge_success_oracle_fail
r3e-0077,unreviewed,,,,oracle_wrong_support_first,5a7fb1e55542995d8a8ddef7,oracle_first,"Which documentary film premiered first, Grizzly Man or Pray the Devil Back to Hell?",Grizzly Man,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'Grizzly Man'.,agree,all_support_conditions_fail|no_support_success_leakage
r3e-0078,unreviewed,,,,oracle_wrong_support_first,5a8645825542991e771815eb,oracle_first,"Deckers Creek is a tributary, and its beginning in the west is named after?",Richard Arthur,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,bge_success_oracle_fail
r3e-0079,unreviewed,,,,oracle_wrong_support_first,5ae834e95542997ec272776a,oracle_first,What song written by Jimmy Webb inspired the name of a supergroup including Johnny Cash?,Highwayman,"Hello, I'm Johnny Cash",0,wrong,Prediction does not match the gold answer.,agree,bge_success_oracle_fail
r3e-0080,unreviewed,,,,oracle_wrong_support_first,5a89d8d055429946c8d6e9df,oracle_first,"ElvenQuest is a comic fantasy broadcast that stars what English actress who is the wife of Lord Frederick Windsor, and who is formally referred to as what?",Lady Frederick Windsor,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,bge_success_oracle_fail
r3e-0081,unreviewed,,,,oracle_wrong_support_first,5a7f7b365542992097ad2f80,oracle_first,Did the Beaulieu Mine or the McIntyre Mines yield gold and copper?,The McIntyre also yielded a considerable amount of copper,McIntyre Mines yielded gold and copper. UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,all_support_conditions_fail
r3e-0082,unreviewed,,,,oracle_wrong_support_first,5ac45b23554299204fd21f31,oracle_first,"The 1994 ""The Shadow"" co-stars Lone, Penelope Ann Miller, Peter Boyle, Jonathan Winters, Tim Curry and an actor that has received how many Emmy Award nominations?",five,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,bm25_fail_bge_success|bge_success_oracle_fail
r3e-0083,unreviewed,,,,oracle_wrong_support_first,5ab98d70554299753720f82f,oracle_first,What kind of action does Mark's Pizzeria and Patxi's Chicago Pizza have in common?,founded,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold is 'founded'.,agree,all_support_conditions_fail
r3e-0084,unreviewed,,,,oracle_wrong_support_first,5a7a37b85542996c55b2dd3f,oracle_first,Nicholas Medforth-Mills is a grandson to a king who was born on what day and year?,25 October 1921,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer specifies a date.,agree,all_support_conditions_fail
r3e-0085,unreviewed,,,,bm25_wrong_support_present,5ac508205542994611c8b32e,bm25_top10,The M1919 and the M1 was used by what military?,U.S.,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is provided.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0086,unreviewed,,,,bm25_wrong_support_present,5ae6152d5542996de7b71b38,bm25_top10,The Cat in the Hat was a comedy film directed by which production designer and director?,"Robert W. ""Bo"" Welch III",UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is known.,agree,all_support_conditions_fail
r3e-0087,unreviewed,,,,bm25_wrong_support_present,5ae69fa755429908198fa66c,bm25_top10,Jeff Bhasker won a Grammy Award for a song that was the fourth single from what studio album?,My Beautiful Dark Twisted Fantasy,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'My Beautiful Dark Twisted Fantasy'.,agree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0088,unreviewed,,,,bm25_wrong_support_present,5a7c827e55429907fabeefa7,bm25_top10,The 2011 Tennessee Tech Golden Eagles football team competed in a conference with how many members competing in football?,9,12,0,wrong,Prediction does not match gold answer.,agree,bm25_fail_bge_success
r3e-0089,unreviewed,,,,bm25_wrong_support_present,5a8645825542991e771815eb,bm25_top10,"Deckers Creek is a tributary, and its beginning in the west is named after?",Richard Arthur,UNKNOWN,0,wrong,Prediction is UNKNOWN while gold answer is 'Richard Arthur'.,agree,bge_success_oracle_fail
r3e-0090,unreviewed,,,,bm25_wrong_support_present,5ae4d2a55542990ba0bbb161,bm25_top10,Giselle Cossard was known as Mother Giselle of what type of diety?,major water deity,UNKNOWN,0,wrong,"Prediction is UNKNOWN, gold answer is 'major water deity'.",agree,bm25_fail_bge_success|bge_success_oracle_fail
